SUMLEV,Geo,sexo,PAISNAC,pob
SL050,34172626032,6,110,1
SL050,34172626031,9,426,2
SL050,34172626031,6,426,1
SL050,34172626031,1,426,1
SL050,34172626030,9,227,1
SL050,34172626030,1,227,1
SL050,34172626029,9,121,1
SL050,34172626029,1,121,1
SL050,34172626028,9,128,3
SL050,34172626028,6,128,1
SL050,34172626028,1,128,2
SL050,34172626027,9,123,3
SL050,34172626027,6,128,2
SL050,34172626027,1,123,2
SL050,34172626026,9,228,35
SL050,34172626026,6,228,14
SL050,34172626026,1,228,21
SL050,34172626025,9,343,2
SL050,34172626025,6,343,2
SL050,34172626024,9,123,5
SL050,34172626024,6,123,2
SL050,34172626024,1,123,3
SL050,34172626023,9,228,17
SL050,34172626023,6,228,7
SL050,34172626023,1,228,10
SL050,34172626022,9,228,3
SL050,34172626022,6,326,2
SL050,34172626022,1,228,2
SL050,34172626021,9,228,396
SL050,34172626021,6,228,185
SL050,34172626021,1,228,211
SL050,34172626020,9,128,147
SL050,34172626020,6,128,69
SL050,34172626020,1,128,78
SL050,34172626019,9,128,50
SL050,34172626019,6,128,23
SL050,34172626019,1,128,27
SL050,34172626018,9,139,586
SL050,34172626018,6,139,269
SL050,34172626018,1,139,317
SL050,34172626017,9,139,6
SL050,34172626017,6,139,5
SL050,34172626017,1,315,2
SL050,34172626015,9,123,9
SL050,34172626015,6,123,5
SL050,34172626015,1,228,5
SL050,34172626014,9,115,3
SL050,34172626014,6,128,1
SL050,34172626014,1,115,3
SL050,34172626013,9,123,11
SL050,34172626013,6,123,5
SL050,34172626013,1,123,6
SL050,34172626012,9,115,1
SL050,34172626012,1,115,1
SL050,34172626011,9,228,495
SL050,34172626011,6,228,214
SL050,34172626011,1,228,281
SL050,34172626010,9,123,3
SL050,34172626010,6,128,2
SL050,34172626010,1,123,2
SL050,34172626009,9,228,18
SL050,34172626009,6,128,9
SL050,34172626009,1,228,9
SL050,34172626008,9,228,241
SL050,34172626008,6,128,94
SL050,34172626008,1,228,161
SL050,34172626007,9,123,38
SL050,34172626007,6,123,15
SL050,34172626007,1,123,23
SL050,34172626006,9,228,88
SL050,34172626006,6,228,46
SL050,34172626006,1,228,42
SL050,34172626005,9,128,163
SL050,34172626005,6,128,76
SL050,34172626005,1,128,87
SL050,34172626004,9,348,1
SL050,34172626004,6,348,1
SL050,34172626003,9,345,21
SL050,34172626003,6,122,11
SL050,34172626003,1,345,11
SL050,34172626002,9,128,51
SL050,34172626002,6,128,28
SL050,34172626002,1,128,23
SL050,34172626001,9,123,19
SL050,34172626001,6,123,10
SL050,34172626001,1,123,9
SL050,34164848915,9,302,2
SL050,34164848915,6,340,2
SL050,34164848915,1,113,1
SL050,34164848914,9,302,5
SL050,34164848914,6,302,3
SL050,34164848914,1,239,2
SL050,34164848913,9,342,12
SL050,34164848913,6,342,10
SL050,34164848913,1,128,4
SL050,34164848912,9,128,27
SL050,34164848912,6,128,15
SL050,34164848912,1,128,12
SL050,34164848911,9,351,4
SL050,34164848911,6,125,1
SL050,34164848911,1,351,3
SL050,34164848910,9,228,65
SL050,34164848910,6,228,23
SL050,34164848910,1,228,42
SL050,34164848909,9,110,3
SL050,34164848909,6,110,2
SL050,34164848909,1,154,3
SL050,34164848908,9,340,3
SL050,34164848908,6,340,2
SL050,34164848908,1,113,1
SL050,34164848907,9,128,5
SL050,34164848907,6,128,4
SL050,34164848907,1,426,3
SL050,34164848906,9,128,16
SL050,34164848906,6,347,6
SL050,34164848906,1,128,11
SL050,34164848905,9,228,54
SL050,34164848905,6,228,25
SL050,34164848905,1,228,29
SL050,34164848904,9,343,45
SL050,34164848904,6,343,27
SL050,34164848904,1,128,25
SL050,34164848903,9,228,80
SL050,34164848903,6,407,10
SL050,34164848903,1,228,80
SL050,34164848902,9,341,530
SL050,34164848902,6,341,306
SL050,34164848902,1,341,224
SL050,34164848901,9,343,51
SL050,34164848901,6,343,30
SL050,34164848901,1,228,29
SL050,34164848097,9,128,17
SL050,34164848097,6,128,11
SL050,34164848097,1,228,10
SL050,34164848096,9,128,242
SL050,34164848096,6,128,94
SL050,34164848096,1,128,148
SL050,34164848095,9,228,64
SL050,34164848095,6,228,26
SL050,34164848095,1,228,38
SL050,34164848094,9,128,118
SL050,34164848094,6,128,57
SL050,34164848094,1,128,61
SL050,34164848093,9,128,57
SL050,34164848093,6,128,24
SL050,34164848093,1,128,33
SL050,34164848092,9,128,7
SL050,34164848092,6,128,4
SL050,34164848092,1,228,6
SL050,34164848091,9,128,24
SL050,34164848091,6,128,8
SL050,34164848091,1,128,16
SL050,34164848090,9,128,115
SL050,34164848090,6,128,63
SL050,34164848090,1,128,52
SL050,34164848089,9,343,25
SL050,34164848089,6,343,16
SL050,34164848089,1,228,11
SL050,34164848088,9,123,9
SL050,34164848088,6,123,4
SL050,34164848088,1,426,6
SL050,34164848087,9,128,4
SL050,34164848087,6,321,4
SL050,34164848087,1,115,2
SL050,34164848086,9,123,27
SL050,34164848086,6,128,12
SL050,34164848086,1,123,16
SL050,34164848085,9,343,108
